UP3,ULP,Jenis Asset,Nama Asset JTM,Penyulang,Konstruksi (e.g. TM1),Material Conductor,Kapasitas / Panjang,Alamat / Lokasi,Latitude,Longitude
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_440,SIWALAN PANJI,TM1,A3CS,0,0,-7.4242,112.72701
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_450,SIWALAN PANJI,TM1,A3CS,0,0,-7.42515,112.72977
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_438,SIWALAN PANJI,TM10,A3CS,0,0,-7.42393,112.72627
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_2,SIWALAN PANJI,TM1,A3CS,0,0,-7.42381,112.72622
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_634,SIWALAN PANJI,GTT2,A3CS,0,0,-7.44898,112.73759
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_449,SIWALAN PANJI,TM1,A3CS,0,0,-7.4251,112.72963
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_445,SIWALAN PANJI,TM1,A3CS,0,0,-7.42477,112.72867
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_623,SIWALAN PANJI,TM2,A3CS,0,0,-7.45968,112.73712
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_625,SIWALAN PANJI,GTT2,A3CS,0,0,-7.45731,112.74016
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_441,SIWALAN PANJI,TM1,A3CS,0,0,-7.42431,112.72743
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_455,SIWALAN PANJI,TM1,A3CS,0,0,-7.42571,112.73119
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_451,SIWALAN PANJI,TM1,A3CS,0,0,-7.42525,112.73002
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_448,SIWALAN PANJI,TM1,A3CS,0,0,-7.425,112.72934
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_442,SIWALAN PANJI,TM1,A3CS,0,0,-7.42436,112.72758
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_630,SIWALAN PANJI,GTT2,A3CS,0,0,-7.46028,112.73652
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_453,SIWALAN PANJI,TM1,A3CS,0,0,-7.42551,112.73068
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_616,SIWALAN PANJI,TM10,A3CS,0,0,-7.44442,112.73577
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_452,SIWALAN PANJI,TM1,A3CS,0,0,-7.42539,112.7304
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_624,SIWALAN PANJI,GTT2,A3CS,0,0,-7.45717,112.73941
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_621,SIWALAN PANJI,TMTP,A3CS,0,0,-7.45418,112.73778
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_443,SIWALAN PANJI,TM1,A3CS,0,0,-7.4246,112.7282
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_444,SIWALAN PANJI,TM1,A3CS,0,0,-7.42467,112.72843
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_631,SIWALAN PANJI,TM8,A3CS,0,0,-7.45661,112.73678
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_446,SIWALAN PANJI,TM5,A3CS,0,0,-7.42487,112.72898
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_622,SIWALAN PANJI,TM2,A3CS,0,0,-7.45953,112.73675
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_1,SIWALAN PANJI,TM11,A3CS,0,0,-7.42351,112.72635
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_617,SIWALAN PANJI,GTT2,A3CS,0,0,-7.44452,112.73576
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_447,SIWALAN PANJI,TM1,A3CS,0,0,-7.42494,112.72919
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_619,SIWALAN PANJI,TM8,A3CS,0,0,-7.44771,112.7403
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_635,SIWALAN PANJI,TM10,A3CS,0,0,-7.44703,112.73651
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_618,SIWALAN PANJI,TM5,A3CS,0,0,-7.44763,112.73921
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_626,SIWALAN PANJI,GTT2,A3CS,0,0,-7.45739,112.74065
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_439,SIWALAN PANJI,TM1,A3CS,0,0,-7.42407,112.72657
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_620,SIWALAN PANJI,TM8,A3CS,0,0,-7.44871,112.74025
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_628,SIWALAN PANJI,TM8,A3CS,0,0,-7.45841,112.7402
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_454,SIWALAN PANJI,TM1,A3CS,0,0,-7.42559,112.73092
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_632,SIWALAN PANJI,GTT2,A3CS,0,0,-7.45454,112.73744
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_352,SIWALAN PANJI,TM8,A3CS,0,0,-7.443966,112.752369
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_660,SIWALAN PANJI,TM11,A3CS,0,0,-7.458801996,112.742604
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_283,SIWALAN PANJI,GTT2,A3CS,0,0,-7.425895985,112.737764
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_494,SIWALAN PANJI,TM1,A3CS,0,0,-7.44504,112.74462
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_530,SIWALAN PANJI,TM2,A3CS,0,0,-7.45722,112.73887
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_59,SIWALAN PANJI,GTT1,A3CS,0,0,-7.43085,112.73693
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_572,SIWALAN PANJI,TM1,A3CS,0,0,-7.44172,112.7354
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_12,SIWALAN PANJI,TM1,A3CS,0,0,-7.43132,112.7341
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_458,SIWALAN PANJI,TM1,A3CS,0,0,-7.42599,112.73189
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_523,SIWALAN PANJI,TM1,A3CS,0,0,-7.45962,112.73752
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_95,SIWALAN PANJI,TM2,A3CS,0,0,-7.4316,112.73621
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_539,SIWALAN PANJI,TM1,A3CS,0,0,-7.46056,112.73602
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_76,SIWALAN PANJI,TM1,A3CS,0,0,-7.43388,112.74159
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_317,SIWALAN PANJI,TM4,A3CS,0,0,-7.447858,112.75438
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_582,SIWALAN PANJI,TM1,A3CS,0,0,-7.44585,112.73638
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_703,SIWALAN PANJI,GTT2,A3CS,0,0,-7.446037028,112.750123
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_740,SIWALAN PANJI,TM8,A3CS,0,0,-7.46064,112.73612
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_178,SIWALAN PANJI,TM4,A3CS,0,0,-7.41867,112.73988
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_556,SIWALAN PANJI,TM1,A3CS,0,0,-7.43542,112.73545
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_319,SIWALAN PANJI,GTT2,A3CS,0,0,-7.447469,112.75355
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_719,SIWALAN PANJI,TM1,A3CS,0,0,-7.446214976,112.752924
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_576,SIWALAN PANJI,TM1,A3CS,0,0,-7.44331,112.73576
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_77,SIWALAN PANJI,TM1,A3CS,0,0,-7.4342,112.74175
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_484,SIWALAN PANJI,TM1,A3CS,0,0,-7.44544,112.74011
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_723,SIWALAN PANJI,TM1,A3CS,0,0,-7.445711978,112.751715
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_709,SIWALAN PANJI,GTT2,A3CS,0,0,-7.446157979,112.75149
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_649,SIWALAN PANJI,TM1,A3CS,0,0,-7.457271041,112.740294
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_502,SIWALAN PANJI,TM1,A3CS,0,0,-7.44499,112.74818
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_51,SIWALAN PANJI,GTT1,A3CS,0,0,-7.43374,112.7361
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_650,SIWALAN PANJI,TM10,A3CS,0,0,-7.457424011,112.740849
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_370,SIWALAN PANJI,TM1,A3CS,0,0,-7.444549,112.756157
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_688,SIWALAN PANJI,TM1,A3CS,0,0,-7.458883971,112.742347
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_268,SIWALAN PANJI,TM1,A3CS,0,0,-7.43459,112.73578
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_553,SIWALAN PANJI,TM1,A3CS,0,0,-7.44679,112.73418
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_741,SIWALAN PANJI,TM5,A3CS,0,0,-7.46101,112.73605
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_513,SIWALAN PANJI,TM1,A3CS,0,0,-7.44767,112.73991
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_367,SIWALAN PANJI,TM5,A3CS,0,0,-7.444019,112.754927
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_73,SIWALAN PANJI,TM1,A3CS,0,0,-7.4327,112.74108
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_584,SIWALAN PANJI,TM2,A3CS,0,0,-7.44654,112.73661
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_85,SIWALAN PANJI,TM8,A3CS,0,0,-7.42746,112.73758
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_702,SIWALAN PANJI,TM1,A3CS,0,0,-7.445897972,112.749767
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_285,SIWALAN PANJI,GTT2,A3CS,0,0,-7.424526969,112.737951
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_342,SIWALAN PANJI,GTT2,A3CS,0,0,-7.44449,112.7522
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_467,SIWALAN PANJI,TM1,A3CS,0,0,-7.42729,112.73435
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_608,SIWALAN PANJI,TM1,A3CS,0,0,-7.45814,112.7366
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_496,SIWALAN PANJI,TM1,A3CS,0,0,-7.44495,112.74553
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_485,SIWALAN PANJI,TM1,A3CS,0,0,-7.4455,112.74055
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_321,SIWALAN PANJI,TM8,A3CS,0,0,-7.444812,112.75206
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_355,SIWALAN PANJI,TM1,A3CS,0,0,-7.443184,112.752514
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_692,SIWALAN PANJI,TM10,A3CS,0,0,-7.460190961,112.742405
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_497,SIWALAN PANJI,TM1,A3CS,0,0,-7.44491,112.74598
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_595,SIWALAN PANJI,TM1,A3CS,0,0,-7.45228,112.73833
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_90,SIWALAN PANJI,TM1,A3CS,0,0,-7.42496,112.73809
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_309,SIWALAN PANJI,TM8,A3CS,0,0,-7.45484,112.747
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_696,SIWALAN PANJI,TM1,A3CS,0,0,-7.460147962,112.741731
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_733,SIWALAN PANJI,TM8,A3CS,0,0,-7.44914,112.73777
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_509,SIWALAN PANJI,TM1,A3CS,0,0,-7.44754,112.73808
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_488,SIWALAN PANJI,TM1,A3CS,0,0,-7.44533,112.74191
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_6,SIWALAN PANJI,TM1,A3CS,0,0,-7.42849,112.73482
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_567,SIWALAN PANJI,TM1,A3CS,0,0,-7.43958,112.73508
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_56,SIWALAN PANJI,TM8,A3CS,0,0,-7.4318,112.73676
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_666,SIWALAN PANJI,TM11,A3CS,0,0,-7.457397021,112.7444
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_281,SIWALAN PANJI,GTT2,A3CS,0,0,-7.427887022,112.737406
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_60,SIWALAN PANJI,TM8,A3CS,0,0,-7.43049,112.737
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_542,SIWALAN PANJI,TM1,A3CS,0,0,-7.44715,112.73675
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_599,SIWALAN PANJI,TM1,A3CS,0,0,-7.45389,112.7378
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_706,SIWALAN PANJI,TM1,A3CS,0,0,-7.446543965,112.751358
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_581,SIWALAN PANJI,TM1,A3CS,0,0,-7.44544,112.73625
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_607,SIWALAN PANJI,TM1,A3CS,0,0,-7.4577,112.7367
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_308,SIWALAN PANJI,TM8,A3CS,0,0,-7.45487,112.74678
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_549,SIWALAN PANJI,TM1,A3CS,0,0,-7.44679,112.73524
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_350,SIWALAN PANJI,GTT2,A3CS,0,0,-7.44397,112.752621
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_609,SIWALAN PANJI,TM1,A3CS,0,0,-7.4586,112.73652
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_664,SIWALAN PANJI,TM2,A3CS,0,0,-7.457477991,112.743511
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_720,SIWALAN PANJI,GTT2,A3CS,0,0,-7.446071981,112.75259
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,SIWALANPANJI_547,SIWALAN PANJI,TM1,A3CS,0,0,-7.44654,112.73557
