UP3,ULP,Jenis Asset,Nama Asset JTM,Penyulang,Konstruksi (e.g. TM1),Material Conductor,Kapasitas / Panjang,Alamat / Lokasi,Latitude,Longitude
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_109,ECCO,TM1,A3CS,0,0,-7.47094,112.71551
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_81,ECCO,TM1,A3CS,0,0,-7.477610987,112.711216
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_121,ECCO,TM2,A3CS,0,0,-7.469849009,112.712856
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_94,ECCO,TM1,A3CS,0,0,-7.46984,112.71135
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_39,ECCO,TM1,A3CS,0,0,-7.477013022,112.699494
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_134,ECCO,TM1,A3CS,0,0,-7.468143962,112.715156
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_83,ECCO,TM1,A3CS,0,0,-7.477796981,112.714222
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_38,ECCO,TM1,A3CS,0,0,-7.476998018,112.699859
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_3,ECCO,TMMVTIC,A3CS,0,0,-7.490169005,112.699786
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_25,ECCO,TM5,A3CS,0,0,-7.481040023,112.700604
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_30,ECCO,TM1,A3CS,0,0,-7.47884497,112.700825
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_4,ECCO,TMMVTIC,A3CS,0,0,-7.490136987,112.6996
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_43,ECCO,TM1,A3CS,0,0,-7.47633501,112.699079
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_1,ECCO,TM11,A3CS,0,0,-7.491128985,112.699685
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_12,ECCO,TMMVTIC,A3CS,0,0,-7.486950019,112.699959
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_82,ECCO,TM1,A3CS,0,0,-7.477583997,112.711006
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_125,ECCO,TM1,A3CS,0,0,-7.466570009,112.713051
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_67,ECCO,TM1,A3CS,0,0,-7.477118969,112.709181
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_100,ECCO,GTT2,A3CS,0,0,-7.46807,112.71294
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_102,ECCO,TM8,A3CS,0,0,-7.47039,112.71339
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_118,ECCO,TM1,A3CS,0,0,-7.47323,112.71374
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_129,ECCO,TM1,A3CS,0,0,-7.469920004,112.714903
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_46,ECCO,TM1,A3CS,0,0,-7.475998979,112.699871
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_59,ECCO,TM1,A3CS,0,0,-7.47671999,112.705645
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_80,ECCO,TM1,A3CS,0,0,-7.477692962,112.711616
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_62,ECCO,TM2,A3CS,0,0,-7.476974968,112.7074
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_122,ECCO,GTT1,A3CS,0,0,-7.468919037,112.712911
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_112,ECCO,TM1,A3CS,0,0,-7.47295,112.71541
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_24,ECCO,TM1,A3CS,0,0,-7.481483007,112.700559
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_86,ECCO,TM1,A3CS,0,0,-7.476541959,112.714548
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_54,ECCO,TM1,A3CS,0,0,-7.476125965,112.703567
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_35,ECCO,TM1,A3CS,0,0,-7.477041017,112.700888
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_61,ECCO,TM2,A3CS,0,0,-7.477073036,112.706946
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_53,ECCO,TM2,A3CS,0,0,-7.476067962,112.703125
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_36,ECCO,TM1,A3CS,0,0,-7.47698796,112.700585
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_89,ECCO,TM1,A3CS,0,0,-7.475209991,112.714885
UP3 Sidoarjo,ULP Sidoarjo Kota,JTM,ECCO_91,ECCO,TM1,A3CS,0,0,-7.474585036,112.715075
